"rank","country","iq","pop2023"
101,"Venezuela",82.99,28838499
102,"Cayman Islands",82.24,69310
103,"Afghanistan",82.12,42239854
104,"Haiti",82.1,11724763
105,"Dominican Republic",82.05,11332972
106,"United Arab Emirates",82.05,9516871
107,"Puerto Rico",81.99,3260314
108,"North Macedonia",81.91,2085679
109,"Albania",81.75,2832439
110,"Lebanon",81.7,5353930
111,"Philippines",81.64,117337368
112,"Peru",81.44,34352719
113,"Northern Mariana Islands",81.36,49796
114,"Laos",80.99,7633779
115,"Libya",80.92,6888388
116,"Qatar",80.78,2716391
117,"Jordan",80.7,11337052
118,"Maldives",80.54,521020.99999999994
119,"Iran",80.01,89172767
120,"Pakistan",80,240485658
121,"Grenada",79.34,126183
122,"Tunisia",79.22,12458223
123,"Kyrgyzstan",79.09,6735347
124,"Panama",79,4468087
125,"Sudan",78.87,48109006
126,"Chad",78.87,18278568
127,"Seychelles",78.76,107660
128,"Oman",78.7,4644384
129,"Kuwait",78.64,4310108
130,"Indonesia",78.49,277534122
131,"Papua New Guinea",78.49,10329931
132,"Timor-Leste",78.49,1360596
133,"Ecuador",78.26,18190484
134,"Palestine",77.69,5371230
135,"Senegal",77.37,17763163
136,"Comoros",77.07,852075
137,"Madagascar",76.79,30325732
138,"British Virgin Islands",76.69,31538
139,"Bolivia",76.53,12388571
140,"Uganda",76.42,48582334
141,"Saudi Arabia",76.36,36947025
142,"Egypt",76.32,112716598
143,"India",76.24,1428627663
144,"Algeria",76,45606480
145,"Kenya",75.2,55100586
146,"Angola",75.1,36684202
147,"Jamaica",75.08,2825544
148,"Tanzania",74.95,67438106
149,"Syria",74.41,23227014
150,"Bangladesh",74.33,172954319
151,"Zimbabwe",74.01,16665409
152,"Burkina Faso",73.8,23251485
153,"Saint Lucia",73.68,180251
154,"Mozambique",72.5,33897354
155,"Burundi",72.09,13238559
156,"Niger",70.82,27202843
157,"Antigua and Barbuda",70.48,94298
158,"Saint Kitts and Nevis",70.48,47755
159,"Rwanda",69.95,14094683
160,"Benin",69.71,13712828
161,"Malawi",69.7,20931751
162,"El Salvador",69.63,6364943
163,"Botswana",69.45,2675352
164,"South Africa",68.87,60414495
165,"Lesotho",68.87,2330318
166,"Eswatini",68.87,1210822
167,"Eritrea",68.77,3748901
168,"Zambia",68.43,20569737
169,"Ethiopia",68.42,126527060
170,"Djibouti",68.41,1136455
171,"Nigeria",67.76,223804632
172,"Cameroon",67.76,28647293
173,"Somalia",67.67,18143378
174,"Morocco",67.03,37840044
175,"Namibia",66.19,2604172
176,"Dominica",66.03,73040
177,"Sao Tome and Principe",65.22,231856
178,"DR Congo",64.92,102262808
179,"Saint Vincent and the Grenadines",63.42,103698
180,"Republic of the Congo",62.97,6106869
181,"Gabon",62.97,2436566
182,"Yemen",62.86,34449825
183,"Central African Republic",62.55,5742315
184,"Belize",62.55,410825
185,"Honduras",62.16,10593798
186,"Togo",59.83,9053799
187,"Mali",59.76,23293698
188,"Mauritania",59.76,4862989
189,"South Sudan",58.61,11088796
190,"Ghana",58.16,34121985
191,"Ivory Coast",58.16,28873034
192,"Guinea",53.48,14190612
193,"Nicaragua",52.69,7046310
194,"Gambia",52.68,2773168
195,"Cape Verde",52.5,598682
196,"Guatemala",47.72,18092026
197,"Sierra Leone",45.07,8791092
198,"Liberia",45.07,5418377
199,"Nepal",42.99,30896590
